Unnamed: 0,ellipse,ellipse1,triangle,triangle1,rectangular,rectangular1,rectangular2,rectangular3,rectangular4
1,,,,,,,1.0,,
2,,,,,,,1.0,,
3,,,,,,1.0,,,
4,,,,,,1.0,,,
5,,,1.0,,,,,,
6,,,,1.0,,,,,
7,,,,,,,1.0,,
8,,,,,,1.0,,,
9,,,1.0,,,,,,
10,,,,1.0,,,,,
11,1.0,,,,,,,,
12,,1.0,,,,,,,
13,,,1.0,,,,,,
14,,,1.0,,,,,,
15,,,,,,1.0,,,
16,1.0,,,,,,,,
17,1.0,,,,,,,,
18,1.0,,,,,,,,
19,1.0,,,,,,,,
20,1.0,,,,,,,,
21,,,,,,1.0,,,
22,1.0,,,,,,,,
23,,,,,,1.0,,,
24,,1.0,,,,,,,
25,,1.0,,,,,,,
26,,,1.0,,,,,,
27,,,1.0,,,,,,
28,,,1.0,,,,,,
29,,,1.0,,,,,,
30,,,,,,1.0,,,
31,,,,,,1.0,,,
32,,,,,,1.0,,,
33,1.0,,,,,,,,
34,,,,,,,1.0,,
35,,,,,,,1.0,,
36,,,,,,,1.0,,
37,,,,,,,1.0,,
38,,,,,,1.0,,,
39,,,,,,,1.0,,
40,,,,,,,1.0,,
41,,,,,,,1.0,,
42,,,,,,,1.0,,
43,,,,,,,1.0,,
44,,,,,,,,1.0,
45,,,,,,,1.0,,
46,,,,,,,,1.0,
47,,,,,,,,1.0,
48,,,,,,,,1.0,
49,,,,,,1.0,,,
50,,,,,,,1.0,,
51,1.0,,,,,,,,
52,,1.0,,,,,,,
53,,,1.0,,,,,,
54,,,1.0,,,,,,
55,,,,,,1.0,,,
56,1.0,,,,,,,,
57,1.0,,,,,,,,
58,1.0,,,,,,,,
59,1.0,,,,,,,,
60,1.0,,,,,,,,
61,,,,,,1.0,,,
62,1.0,,,,,,,,
63,,,,,,1.0,,,
64,,,,,,1.0,,,
65,,1.0,,,,,,,
66,,,1.0,,,,,,
67,,,1.0,,,,,,
68,,,1.0,,,,,,
69,,,,,,,1.0,,
70,,,,,,1.0,,,
71,,,,,,,1.0,,
72,,,,,,1.0,,,
73,1.0,,,,,,,,
74,,,,,,,1.0,,
75,,,,,,,1.0,,
76,,,,,,,1.0,,
77,,,,,,1.0,,,
78,,,,,,,1.0,,
79,,,,,,,1.0,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
102,,,,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,,,,,,,,,
106,,,,,,,,,
107,,,,,,,,,
108,,,,,,,,,
109,,,,,,,,,
110,,,,,,,,,
111,,,,,,,,,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,,,,,,,,,
119,,,,,,,,,
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
126,,,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,,,,,,,,,
132,,,,,,,,,
133,,,,,,,,,
134,,,,,,,,,
135,,,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
139,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,,,,,,,,,
144,,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,,,,,,,,,
153,,,,,,,,,
154,,,,,,,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,,,,,,,,,
162,,,,,,,,,
163,,,,,,,,,
164,,,,,,,,,
165,,,,,,,,,
166,,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,,,,,,,,,
170,,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
173,,,,,,,,,
174,,,,,,,,,
175,,,,,,,,,
176,,,,,,,,,
177,,,,,,,,,
178,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
181,,,,,,,,,
182,,,,,,,,,
183,,,,,,,,,
184,,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
196,,,,,,,,,
197,,,,,,,,,
198,,,,,,,,,
199,,,,,,,,,
200,,,,,,,,,
